iter	Accuracy	Logloss
0	0.8866666667	0.6132959808
1	0.8866666667	0.5533312126
2	0.8906666667	0.4909398298
3	0.8906666667	0.442129824
4	0.9	0.4030496096
5	0.908	0.3663023984
6	0.912	0.3427861427
7	0.908	0.3223715782
8	0.9106666667	0.3047031384
9	0.912	0.293309352
10	0.9146666667	0.2788925547
11	0.9173333333	0.2695431864
12	0.9186666667	0.2588801569
13	0.9186666667	0.2504723106
14	0.9213333333	0.2363123537
15	0.9213333333	0.2312247917
16	0.92	0.2245710208
17	0.9213333333	0.216597297
18	0.9213333333	0.2117881177
19	0.9213333333	0.209513268
20	0.9266666667	0.2057688897
21	0.928	0.2021373821
22	0.9293333333	0.2013370313
23	0.9306666667	0.1958915339
24	0.932	0.1927212576
25	0.9333333333	0.1884577462
26	0.9333333333	0.1868722091
27	0.9333333333	0.1836278519
28	0.9346666667	0.1787455543
29	0.936	0.1770871601
30	0.9373333333	0.1747708939
31	0.9373333333	0.1741824777
32	0.94	0.1712810434
33	0.9413333333	0.1680984145
34	0.944	0.1656265017
35	0.9493333333	0.1619563783
36	0.948	0.1580797689
37	0.948	0.1567156717
38	0.948	0.1557843376
39	0.9493333333	0.1535302094
40	0.9506666667	0.1520477748
41	0.9506666667	0.1489629921
42	0.9506666667	0.1453629913
43	0.9533333333	0.1440334266
44	0.9533333333	0.1429138188
45	0.9546666667	0.1423871968
46	0.9546666667	0.1407339316
47	0.956	0.1393241959
48	0.956	0.1391034242
49	0.96	0.1353295268
50	0.9613333333	0.1334456296
51	0.9626666667	0.1309381005
52	0.9626666667	0.1308906896
53	0.9626666667	0.1298214834
54	0.9626666667	0.1283352588
55	0.9626666667	0.1273307588
56	0.9666666667	0.1246988728
57	0.9666666667	0.1228481511
58	0.9666666667	0.122390137
59	0.968	0.1203944662
60	0.9693333333	0.1194408394
61	0.972	0.1166679737
62	0.972	0.1163404565
63	0.9733333333	0.1147758307
64	0.9746666667	0.1141935184
65	0.976	0.1114826931
66	0.976	0.1094753134
67	0.976	0.1085974325
68	0.976	0.1077225374
69	0.976	0.1064278702
70	0.976	0.1057184115
71	0.976	0.1045304681
72	0.976	0.103296655
73	0.976	0.1027071323
74	0.9773333333	0.1015357596
75	0.9773333333	0.1006076639
76	0.9773333333	0.0977170356
77	0.9773333333	0.0969708625
78	0.9773333333	0.09627153846
79	0.976	0.09533104272
80	0.9773333333	0.09389091484
81	0.976	0.09300903117
82	0.9786666667	0.09148897332
83	0.9786666667	0.09133994526
84	0.9786666667	0.09079511121
85	0.98	0.08914201296
86	0.9786666667	0.08809400065
87	0.9786666667	0.08764659975
88	0.98	0.08598442488
89	0.98	0.08559690776
90	0.98	0.08542796304
91	0.98	0.08500812108
92	0.98	0.08413991734
93	0.98	0.08374638703
94	0.98	0.08322715903
95	0.9813333333	0.08158181423
96	0.9813333333	0.08073876651
97	0.9813333333	0.0801416923
98	0.9813333333	0.07997163041
99	0.9813333333	0.07903624767
100	0.9813333333	0.07795983761
101	0.9813333333	0.07678089845
102	0.9813333333	0.07509709475
103	0.9826666667	0.0739250901
104	0.9813333333	0.07316301962
105	0.9826666667	0.07273585653
106	0.9826666667	0.07216126315
107	0.9826666667	0.07160130528
108	0.9826666667	0.07147035152
109	0.984	0.07095534757
110	0.984	0.06925206526
111	0.984	0.06785272843
112	0.984	0.06731426644
113	0.984	0.06663473709
114	0.984	0.06552365995
115	0.9853333333	0.06459334141
116	0.9853333333	0.06429882998
117	0.9853333333	0.06415409684
118	0.9853333333	0.06283412814
119	0.9853333333	0.06222287957
120	0.9853333333	0.06131788882
121	0.988	0.06107953121
122	0.988	0.06053438986
123	0.988	0.05935852531
124	0.988	0.05887009662
125	0.988	0.05863319212
126	0.988	0.05812217045
127	0.988	0.05743887244
128	0.988	0.05728911593
129	0.988	0.05709883928
130	0.988	0.05682490197
131	0.9893333333	0.05582223507
132	0.9893333333	0.05535427484
133	0.9893333333	0.055239668
134	0.9893333333	0.05408579155
135	0.9893333333	0.05362350648
136	0.9893333333	0.05299325085
137	0.9893333333	0.05275148868
138	0.9893333333	0.05223978593
139	0.9893333333	0.05173832039
140	0.9893333333	0.05004626807
141	0.9906666667	0.04928419016
142	0.9906666667	0.04880604693
143	0.9906666667	0.04839288278
144	0.9906666667	0.0482048186
145	0.9906666667	0.04786549531
146	0.992	0.04769916969
147	0.992	0.04762928111
148	0.992	0.04758015158
149	0.992	0.04751786644
150	0.992	0.04738518223
151	0.992	0.04713565282
152	0.992	0.04683893995
153	0.992	0.04678486578
154	0.992	0.04600774663
155	0.9906666667	0.04562746837
156	0.992	0.0445565409
157	0.992	0.04450699836
158	0.992	0.04409793052
159	0.9933333333	0.04381195487
160	0.9933333333	0.04358041722
161	0.9933333333	0.04332305138
162	0.9933333333	0.04318084495
163	0.9933333333	0.0427440517
164	0.9933333333	0.04230051432
165	0.9933333333	0.04208165101
166	0.9933333333	0.04164913707
167	0.9933333333	0.04155930436
168	0.9933333333	0.04140343076
169	0.9933333333	0.04089682499
170	0.9933333333	0.04083471175
171	0.9933333333	0.04026782113
172	0.9933333333	0.03987763893
173	0.9946666667	0.03934647338
174	0.9946666667	0.03886251607
175	0.9946666667	0.03870047287
176	0.9946666667	0.03817260656
177	0.9946666667	0.03766813136
178	0.9946666667	0.03749995807
179	0.9946666667	0.03669298525
180	0.9946666667	0.03646850325
181	0.9946666667	0.03636960405
182	0.9946666667	0.03599387892
183	0.9946666667	0.03536483669
184	0.9946666667	0.03513014013
185	0.9946666667	0.03470061601
186	0.9946666667	0.03458214104
187	0.9946666667	0.03443158492
188	0.9946666667	0.03409605427
189	0.9946666667	0.03382831893
190	0.9946666667	0.033710957
191	0.9946666667	0.03352146892
192	0.9946666667	0.03319938065
193	0.996	0.0325124255
194	0.996	0.03233139536
195	0.996	0.03215650558
196	0.996	0.03209583764
197	0.996	0.03202982396
198	0.996	0.03172482027
199	0.996	0.03156907069
200	0.996	0.03139662021
201	0.996	0.03112441822
202	0.996	0.03057684114
203	0.9973333333	0.03029228852
204	0.9973333333	0.03011944089
205	0.9973333333	0.02986444243
206	0.9973333333	0.02977848632
207	0.9973333333	0.02914304746
208	0.9973333333	0.0290689214
209	0.9973333333	0.02902442778
210	0.9986666667	0.02893512812
211	0.9986666667	0.02879762501
212	0.9986666667	0.02844819218
213	0.9986666667	0.02798502099
214	0.9986666667	0.02729513023
215	0.9986666667	0.02690283781
216	0.9986666667	0.02674821863
217	0.9986666667	0.02650929728
218	0.9986666667	0.02615581268
219	0.9986666667	0.02590972808
220	0.9986666667	0.02574823691
221	0.9986666667	0.02566579883
222	0.9986666667	0.02554522088
223	0.9986666667	0.02532758203
224	0.9986666667	0.02497273433
225	0.9986666667	0.02487064891
226	0.9986666667	0.02468952971
227	0.9986666667	0.02415673807
228	0.9986666667	0.02409409366
229	0.9986666667	0.02390857657
230	0.9986666667	0.02349859178
231	0.9986666667	0.02344054279
232	0.9986666667	0.02321682425
233	0.9986666667	0.02315858171
234	0.9986666667	0.02282224648
235	0.9986666667	0.02246685574
236	0.9986666667	0.02234658494
237	0.9986666667	0.02215676234
238	0.9986666667	0.02192137852
239	0.9986666667	0.02186292869
240	0.9986666667	0.02178923912
241	0.9986666667	0.02166151546
242	0.9986666667	0.02160392629
243	0.9986666667	0.02129768252
244	0.9986666667	0.02128491931
245	0.9986666667	0.02126222997
246	0.9986666667	0.0210901951
247	0.9986666667	0.0209422458
248	0.9986666667	0.02071385363
249	1	0.02048286425
250	1	0.02035620741
251	1	0.02027859917
252	1	0.02015776094
253	1	0.02007742804
254	1	0.01997683182
255	1	0.01976497135
256	1	0.01973349203
257	1	0.01971893975
258	1	0.01947393303
259	1	0.0194186624
260	1	0.01928966303
261	1	0.01898522944
262	1	0.01867547836
263	1	0.01855168855
264	1	0.01847077359
265	1	0.01843719091
266	1	0.01840225832
267	1	0.01827402854
268	1	0.018114566
269	1	0.01800660443
270	1	0.01797661405
271	1	0.01792582676
272	1	0.0178299929
273	1	0.01780456847
274	1	0.01768067834
275	1	0.01762554592
276	1	0.01746355639
277	1	0.01743871142
278	1	0.01734927824
279	1	0.0172375336
280	1	0.01718323468
281	1	0.01712173255
282	1	0.01706644901
283	1	0.01704919435
284	1	0.01694658789
285	1	0.01684294356
286	1	0.01677187539
287	1	0.01671337054
288	1	0.01665419447
289	1	0.01662793265
290	1	0.01659691611
291	1	0.01647594266
292	1	0.01642013889
293	1	0.01629611299
294	1	0.01625145708
295	1	0.01607363576
296	1	0.01603420425
297	1	0.01589936775
298	1	0.01577678697
299	1	0.01569833506
300	1	0.01559998186
301	1	0.01549811297
302	1	0.01530419983
303	1	0.01521810686
304	1	0.01498508814
305	1	0.01480172949
306	1	0.01479052175
307	1	0.01477166883
308	1	0.01470773061
309	1	0.01463319887
310	1	0.014581241
311	1	0.01431218344
312	1	0.01417950637
313	1	0.01417047675
314	1	0.01408379426
315	1	0.0140585843
316	1	0.01405036922
317	1	0.01401661585
318	1	0.01400281235
319	1	0.0138602845
320	1	0.01381080786
321	1	0.01374536419
322	1	0.01358180436
323	1	0.0134906929
324	1	0.01343407311
325	1	0.01336621973
326	1	0.01324396546
327	1	0.01320024056
328	1	0.01315575945
329	1	0.01312749818
330	1	0.01307159353
331	1	0.01304450488
332	1	0.01290788513
333	1	0.01283503026
334	1	0.01277678313
335	1	0.01275786595
336	1	0.01266633234
337	1	0.01263706337
338	1	0.01254870053
339	1	0.01252170391
340	1	0.01249910832
341	1	0.01247781802
342	1	0.01244608485
343	1	0.01240163843
344	1	0.01229022149
345	1	0.01223178548
346	1	0.01217785441
347	1	0.01215251664
348	1	0.01205155894
349	1	0.01195889875
350	1	0.01193409143
351	1	0.0118638509
352	1	0.01181146411
353	1	0.01170951287
354	1	0.01170100959
355	1	0.01168704961
356	1	0.01158531092
357	1	0.01151229043
358	1	0.01149459948
359	1	0.01145357842
360	1	0.01143508136
361	1	0.0113937285
362	1	0.01132684711
363	1	0.01128544014
364	1	0.01121257875
365	1	0.01112898404
366	1	0.01108801331
367	1	0.01107577909
368	1	0.01104135666
369	1	0.01102251526
370	1	0.01098386903
371	1	0.01092967223
372	1	0.01087397977
373	1	0.0107692607
374	1	0.01071486264
375	1	0.01061957589
376	1	0.0105846407
377	1	0.01045512687
378	1	0.0104166362
379	1	0.01033731652
380	1	0.01031491308
381	1	0.01028187536
382	1	0.01024864192
383	1	0.01022423
384	1	0.01019257017
385	1	0.01015086449
386	1	0.01010696822
387	1	0.0100598753
388	1	0.01003305963
389	1	0.009935187903
390	1	0.009906171985
391	1	0.009839573258
392	1	0.009812631295
393	1	0.009782511072
394	1	0.009772459151
395	1	0.009752193947
396	1	0.009701720596
397	1	0.00962078008
398	1	0.009588015832
399	1	0.009566301977
400	1	0.009528196219
401	1	0.009507694427
402	1	0.009488430738
403	1	0.009458699217
404	1	0.00942607266
405	1	0.009384374564
406	1	0.009361692729
407	1	0.009329719277
408	1	0.009289982074
409	1	0.009241856586
410	1	0.009172844636
411	1	0.009135926682
412	1	0.009121568153
413	1	0.009108130817
414	1	0.009057074066
415	1	0.009022299942
416	1	0.009006431567
417	1	0.008993098041
418	1	0.008899224806
419	1	0.008865580373
420	1	0.008858060345
421	1	0.008827490609
422	1	0.008801446501
423	1	0.008764876898
424	1	0.008736974365
425	1	0.008687935234
426	1	0.008678584754
427	1	0.008667158602
428	1	0.008657281472
429	1	0.008587296859
430	1	0.008506693838
431	1	0.008491941875
432	1	0.008470992296
433	1	0.00838999979
434	1	0.008375985389
435	1	0.008334782264
436	1	0.008314224934
437	1	0.008302529158
438	1	0.008281921624
439	1	0.008252597884
440	1	0.008236327297
441	1	0.00818473479
442	1	0.008139935075
443	1	0.008105599222
444	1	0.008059708682
445	1	0.007960594588
446	1	0.007910651374
447	1	0.007898876198
448	1	0.007877064798
449	1	0.007834013179
450	1	0.007820427353
451	1	0.00776338906
452	1	0.007739363886
453	1	0.007704133687
454	1	0.007672070667
455	1	0.007640126559
456	1	0.007591456882
457	1	0.007542935882
458	1	0.007510081952
459	1	0.007485004519
460	1	0.00746233649
461	1	0.007453803337
462	1	0.007413980611
463	1	0.007392729713
464	1	0.007372627658
465	1	0.007329813289
466	1	0.007286113019
467	1	0.007281110491
468	1	0.00724204536
469	1	0.007192332323
470	1	0.007156643237
471	1	0.007131212008
472	1	0.007111540964
473	1	0.007096439752
474	1	0.0070723649
475	1	0.007044167312
476	1	0.007032667918
477	1	0.007005223588
478	1	0.00697141219
479	1	0.006939164794
480	1	0.006927028963
481	1	0.006889786362
482	1	0.006871931871
483	1	0.006859697114
484	1	0.006840489306
485	1	0.006829307178
486	1	0.006813179239
487	1	0.006791501662
488	1	0.006773058106
489	1	0.00675469442
490	1	0.006743532371
491	1	0.006733287778
492	1	0.006704657565
493	1	0.006683006979
494	1	0.006665925749
495	1	0.006629125781
496	1	0.006615860327
497	1	0.006546741845
498	1	0.006518775972
499	1	0.006499419914
